device,model,seed,split,tag,name_cn,unit,r2,rmse,mae,bias,within_tolerance,train_min,train_max,samples
DEA,iTransformer-small,20260803,train,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,0.960992991924286,2.7448427218491025,1.9933449029922483,-0.2859483063220978,0.388747233040993,140.12599182128906,186.6000061035156,35689
DEA,iTransformer-small,20260803,train,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,0.0473703742027282,29.23042359553174,17.514759063720703,0.8917757272720337,0.4502787973885511,1799.865966796875,2373.44384765625,35689
DEA,iTransformer-small,20260803,train,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,0.1133279204368591,30.499913950314063,18.672367095947266,0.7834776043891907,0.4097901314130404,1745.8189697265625,2377.288818359375,35689
DEA,iTransformer-small,20260803,train,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,0.0927736759185791,28.486713725642677,16.727598190307617,0.4497602581977844,0.4870688447420774,1803.925048828125,2460.60205078125,35689
DEA,iTransformer-small,20260803,train,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,0.0663132667541503,28.586124324683297,17.088043212890625,0.0606458745896816,,1797.94287109375,2375.15283203125,35689
DEA,iTransformer-small,20260803,train,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,0.0040521621704101,3.9248410138045817,0.8455559611320496,0.0125498231500387,0.9981226708509624,0.0630000829696655,100.58699798583984,35689
DEA,iTransformer-small,20260803,val,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,-8.032159805297852,0.5714741203342387,0.1572996228933334,-0.0403063558042049,0.7864121280179674,0.2540000081062317,1.0740000009536743,8905
DEA,iTransformer-small,20260803,val,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,-27.29216194152832,1.0078575065085331,0.2261934429407119,-0.1125915870070457,0.8469399213924761,0.2520000040531158,1.065000057220459,8905
DEA,iTransformer-small,20260803,val,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,-52.72392654418945,70.58450858058374,14.373612403869627,-9.11910629272461,0.1257720381807973,140.25601196289062,186.7330017089844,8905
DEA,iTransformer-small,20260803,val,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,-56.74677276611328,72.81379424815397,14.384894371032717,-9.779167175292969,0.1590117911285794,140.12599182128906,186.6000061035156,8905
DEA,iTransformer-small,20260803,val,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,-8.232712745666504,92.6258750802118,32.43940734863281,14.49240493774414,0.4282987085906793,1799.865966796875,2373.44384765625,8905
DEA,iTransformer-small,20260803,val,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-2.6785035133361816,60.96568258557432,28.06775665283203,10.859331130981444,0.3610331274564851,1745.8189697265625,2377.288818359375,8905
DEA,iTransformer-small,20260803,val,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-1.8750228881835935,50.61325818693038,23.978857040405277,-9.655192375183104,0.4605277933745087,1803.925048828125,2460.60205078125,8905
DEA,iTransformer-small,20260803,val,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-0.1084151268005371,31.39673849284797,18.76460647583008,-0.4696070849895477,,1797.94287109375,2375.15283203125,8905
DEA,iTransformer-small,20260803,val,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-22.20800018310547,3.2311777722902493,1.2808966636657717,0.1791348457336425,0.9711398090960136,0.0630000829696655,100.58699798583984,8905
DEA,iTransformer-small,20260803,test,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,-7.601637840270996,0.437617643751584,0.0668456330895423,0.0115874102339148,0.9026565069365634,0.2540000081062317,1.0740000009536743,43177
DEA,iTransformer-small,20260803,test,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,-25.622573852539062,0.760488837662439,0.0774764418601989,-0.0103568052873015,0.9391342612965236,0.2520000040531158,1.065000057220459,43177
DEA,iTransformer-small,20260803,test,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,-37.038272857666016,54.0131119244728,5.247975826263428,-0.1382465213537216,0.2183338351437107,140.25601196289062,186.7330017089844,43177
DEA,iTransformer-small,20260803,test,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,-41.2453727722168,56.75958413012731,4.95726203918457,-0.8517327904701233,0.2597216110429163,140.12599182128906,186.6000061035156,43177
DEA,iTransformer-small,20260803,test,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,-8.674461364746094,73.65191769715673,17.547250747680664,4.740901470184326,0.5417467633230655,1799.865966796875,2373.44384765625,43177
DEA,iTransformer-small,20260803,test,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,-3.414370536804199,48.74655686959465,15.967769622802734,1.6815005540847778,0.5142552747990828,1745.8189697265625,2377.288818359375,43177
DEA,iTransformer-small,20260803,test,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,-3.261782646179199,43.51037754492096,15.140039443969728,-6.154080867767334,0.5111517706186164,1803.925048828125,2460.60205078125,43177
DEA,iTransformer-small,20260803,test,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,-0.507304310798645,25.42833617761333,12.569449424743652,-2.824116468429565,,1797.94287109375,2375.15283203125,43177
DEA,iTransformer-small,20260803,test,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,-27.09450340270996,3.118397872096549,0.6928432583808899,-0.344923585653305,0.9960858790559788,0.0630000829696655,100.58699798583984,43177
DEA,TCN,20260801,train,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,0.989930272102356,0.0242794665914573,0.01693263836205,-0.0024950494989752,0.9958530639692904,0.2540000081062317,1.0740000009536743,35689
DEA,TCN,20260801,train,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,0.991409957408905,0.0223199459364776,0.016790572553873,-0.0054074674844741,0.9976743534422372,0.2520000040531158,1.065000057220459,35689
DEA,TCN,20260801,train,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,0.9894971251487732,1.4278963469384245,1.03641676902771,-0.2586889564990997,0.5881924402476953,140.25601196289062,186.7330017089844,35689
DEA,TCN,20260801,train,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,0.984889030456543,1.7084111064172065,1.289262771606445,-0.4713101983070373,0.4659138670178486,140.12599182128906,186.6000061035156,35689
DEA,TCN,20260801,train,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,0.4585462808609009,22.037064281533453,14.47316551208496,3.697540760040283,0.4985289585026198,1799.865966796875,2373.44384765625,35689
DEA,TCN,20260801,train,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,0.4969315528869629,22.973684100135365,15.01111888885498,4.081203937530518,0.4819131945417355,1745.8189697265625,2377.288818359375,35689
DEA,TCN,20260801,train,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,0.4774780869483948,21.619057958019063,14.354913711547852,4.338329315185547,0.4890302334052509,1803.925048828125,2460.60205078125,35689
DEA,TCN,20260801,train,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,0.4755125641822815,21.425069424707026,13.796780586242676,3.382919311523437,,1797.94287109375,2375.15283203125,35689
