device,model,tag,name_cn,unit,seeds,r2_mean,r2_std,rmse_mean,rmse_std,mae_mean,mae_std,tolerance_mean
DEA,ANN,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,3,0.9713865121205646,0.0076851972326928445,0.025072907489528496,0.0035512563598870768,0.018331189950307167,0.002777308470146423,0.993337502219546
DEA,ANN,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,3,0.9665223757425944,0.012463112146649155,0.026624450603178366,0.0052535062474289755,0.019282293816407465,0.0037612993757205355,0.9926349676911319
DEA,ANN,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,3,0.961320141951243,0.013108740567493112,1.7061140685812939,0.28930828308624135,1.2747319142023723,0.25599917072639333,0.5087739614455227
DEA,ANN,SYG1_10LAA10CT102,#1 机除氧器温度 2,℃,3,0.9515838623046875,0.017328241229532505,1.9023203293729327,0.33184131051213345,1.4550082683563232,0.3370422594376009,0.4533123344990775
DEA,GRU,SYG1_10CBA00CBK00R107,#1汽机除氧器出口O2（汽水取样画面的除氧器出口溶解氧）,μg/L,3,-1.1618026892344158,0.32294714719320805,0.8634519488503855,0.06387151713932322,0.6836539506912231,0.03812187239188768,0.9999768395210413
DEA,GRU,SYG1_10LAA10CL101,#1 机除氧器液位 1,mm,3,-0.16486712296803785,0.13855918789730381,25.527293454574068,1.5072098782536643,16.997886021931965,1.1730714343409714,0.46183539075588076
DEA,GRU,SYG1_10LAA10CL101-SEL,#1 机除氧器液位三选,-,3,-0.1447620789210001,0.10389016561532874,22.144668198020636,1.0183351382784402,14.262721061706543,0.7911772383595357,
DEA,GRU,SYG1_10LAA10CL102,#1 机除氧器液位 2,mm,3,-0.10654056072235103,0.07591697987780362,24.39605010028518,0.8452282355879697,16.436244010925293,0.43344596348493886,0.4394006068045487
DEA,GRU,SYG1_10LAA10CL103,#1 机除氧器液位 3,mm,3,-0.3008226950963338,0.09771452580965366,24.027360983843735,0.8936786999366051,17.228535652160648,1.501177880346177,0.37668974994402876
DEA,GRU,SYG1_10LAA10CP101,#1 机除氧器压力 1,MPa,3,0.9734699527422587,0.004656679774503188,0.0242391579112206,0.002168605102390495,0.018187455212076434,0.0018541153359944967,0.9977765940199643
DEA,GRU,SYG1_10LAA10CP102,#1 机除氧器压力 2,MPa,3,0.9719574650128683,0.0034993209931067698,0.024649965546055533,0.0015342042235167172,0.01743383084734273,0.0014088831036910335,0.9943488431340759
DEA,GRU,SYG1_10LAA10CT101,#1 机除氧器温度 1,℃,3,0.9515962799390157,0.0055943239715665226,1.9246461022497652,0.11057249462554401,1.4699668884277344,0.11505290717913438,0.418973064362971
