device,stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
L6,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9739877828409016,4,0.5521115660667419,0.9583333333333334,0.9594694260682995,0.9583333333333334,0.9586019141059912
L6,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,weak,0.9739877828409016,4,0.5521115660667419,0.4201388888888889,0.6981340579710145,0.4201388888888889,0.3957668793195109
L6,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,iid,0.9739836380036636,13,0.555111825466156,0.9878472222222222,0.9878700067056232,0.9878472222222222,0.9878409227442028
L6,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9739836380036636,13,0.555111825466156,0.9322916666666666,0.941134480328546,0.9322916666666666,0.933551324831926
L6,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,weak,0.9739836380036636,13,0.555111825466156,0.3767361111111111,0.69120148995149,0.3767361111111111,0.3291568733384787
L6,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9757394680678676,5,0.5482563972473145,0.9791666666666666,0.979457162591792,0.9791666666666666,0.979224494023368
L6,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9757394680678676,5,0.5482563972473145,0.9444444444444444,0.94905711794201,0.9444444444444444,0.9451237915775504
L6,final,GCN-NodeAware,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9757394680678676,5,0.5482563972473145,0.3680555555555556,0.7039414903892591,0.3680555555555556,0.3167021710294135
L6,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9756814665219836,8,0.5493971705436707,0.9809027777777778,0.9809242084533656,0.9809027777777776,0.9808840219355002
L6,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9756814665219836,8,0.5493971705436707,0.9496527777777778,0.9517596114191448,0.9496527777777778,0.9501025346668504
L6,final,GCN-NodeAware,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9756814665219836,8,0.5493971705436707,0.4201388888888889,0.6783834478428876,0.4201388888888889,0.3942564856872075
L6,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9757209041822934,9,0.551264762878418,0.9826388888888888,0.9828700052047282,0.9826388888888888,0.9825865921600552
L6,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9757209041822934,9,0.551264762878418,0.9548611111111112,0.9566677110998378,0.954861111111111,0.9553069315740332
L6,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9757209041822934,9,0.551264762878418,0.4149305555555556,0.6801563277012571,0.4149305555555556,0.3880409419094405
BFPT,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9580093106742558,34,0.0383850559592247,0.9583333333333334,0.9585074284561004,0.9583333333333331,0.9583919223773888
BFPT,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9580093106742558,34,0.0383850559592247,0.8628472222222222,0.8913490360066462,0.8628472222222222,0.8688091539395539
BFPT,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9580093106742558,34,0.0383850559592247,0.5138888888888888,0.7476910086186817,0.513888888888889,0.5173942153526366
BFPT,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.961535832152139,23,0.0407593511044979,0.9392361111111112,0.9397753602839084,0.939236111111111,0.9392459460170752
BFPT,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.961535832152139,23,0.0407593511044979,0.8159722222222222,0.8627289138598473,0.8159722222222222,0.8232564293170354
BFPT,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.961535832152139,23,0.0407593511044979,0.5069444444444444,0.7351079466214553,0.5069444444444444,0.5156695180796276
BFPT,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9585074120594372,20,0.0388241000473499,0.9409722222222222,0.9434078359194176,0.9409722222222222,0.9414310814381904
BFPT,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9585074120594372,20,0.0388241000473499,0.7829861111111112,0.8567426379101258,0.782986111111111,0.792823827337083
BFPT,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9585074120594372,20,0.0388241000473499,0.4670138888888889,0.7560961839123815,0.4670138888888889,0.4652674319724814
BFPT,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9791473922767926,11,,0.9513888888888888,0.9521786492374728,0.951388888888889,0.9513142174432496
BFPT,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9791473922767926,11,,0.9010416666666666,0.9100912411537287,0.9010416666666669,0.902345238427152
BFPT,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9791473922767926,11,,0.3836805555555556,0.6774300589278562,0.3836805555555556,0.3516235262963685
BFPT,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9826493118967938,38,,0.9548611111111112,0.954708702464575,0.954861111111111,0.95466685760437
BFPT,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9826493118967938,38,,0.9027777777777778,0.9091197337520868,0.9027777777777778,0.9045017845178738
BFPT,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9826493118967938,38,,0.4288194444444444,0.6702475137038038,0.4288194444444445,0.4155741787896129
BFPT,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9775531591983452,7,,0.9513888888888888,0.9539523488099604,0.9513888888888888,0.9518597856413216
BFPT,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9775531591983452,7,,0.9045138888888888,0.9181280251311102,0.9045138888888888,0.907134099978438
BFPT,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9775531591983452,7,,0.3697916666666667,0.7052768544621231,0.3697916666666666,0.3254079559057188
BFPT,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,iid,0.980896104984614,27,0.0777733847498893,0.9652777777777778,0.9663473588297364,0.965277777777778,0.9654436104986516
BFPT,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.980896104984614,27,0.0777733847498893,0.8315972222222222,0.8835834895404758,0.8315972222222222,0.8369701239957729
BFPT,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,weak,0.980896104984614,27,0.0777733847498893,0.3802083333333333,0.7460160888528087,0.3802083333333333,0.3372333848997424
BFPT,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,iid,0.9776536438878914,20,0.0765383392572403,0.9635416666666666,0.9652450894386376,0.9635416666666666,0.9638240849372104
BFPT,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9776536438878914,20,0.0765383392572403,0.8333333333333334,0.8859127555172901,0.8333333333333334,0.8408386572865655
BFPT,final,GCN-NodeAware,Corr,123,1,False,32,96,0.05,0.0015,False,weak,0.9776536438878914,20,0.0765383392572403,0.3680555555555556,0.7351168568273831,0.3680555555555556,0.3203656093248947
BFPT,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,iid,0.9791780567726632,22,0.0760715082287788,0.9635416666666666,0.9639338377984894,0.9635416666666669,0.9635718351719894
BFPT,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9791780567726632,22,0.0760715082287788,0.8871527777777778,0.906960437096691,0.8871527777777777,0.8907140856087922
BFPT,final,GCN-NodeAware,Corr,202,1,False,32,96,0.05,0.0015,False,weak,0.9791780567726632,22,0.0760715082287788,0.4149305555555556,0.7266049176010317,0.4149305555555556,0.3940746640024201
BFPT,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,iid,0.9790889854901949,19,0.0752936750650405,0.9618055555555556,0.9621037454245848,0.9618055555555556,0.9617940872235876
BFPT,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9790889854901949,19,0.0752936750650405,0.9079861111111112,0.9184553973108888,0.907986111111111,0.9100395737464142
BFPT,final,GCN-NodeAware,Identity,101,1,False,32,96,0.05,0.0015,False,weak,0.9790889854901949,19,0.0752936750650405,0.4236111111111111,0.7147961102566298,0.4236111111111111,0.4054069797444907
BFPT,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,iid,0.9791294942241008,13,0.0763235762715339,0.9670138888888888,0.9670464728575796,0.967013888888889,0.9670009332151634
BFPT,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9791294942241008,13,0.0763235762715339,0.8715277777777778,0.895996038131571,0.8715277777777778,0.8761069461975461
BFPT,final,GCN-NodeAware,Identity,123,1,False,32,96,0.05,0.0015,False,weak,0.9791294942241008,13,0.0763235762715339,0.4253472222222222,0.7302787162162162,0.4253472222222222,0.3946409863910983
BFPT,final,GCN-NodeAware,Identity,202,1,False,32,96,0.05,0.0015,False,iid,0.9826388260947612,33,0.0751305446028709,0.9670138888888888,0.9673595146439852,0.967013888888889,0.9670525605774664
