device,model,graph,test,seeds,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
H1,GCN-NodeAware,KG,iid,3,0.954861111111111,0.003007032652029274,0.9554192688105134,0.0031100730549350167,0.9548611111111112,0.0030070326520292502,0.9549437653493893,0.0030061502629131257
H1,GCN-NodeAware,KG,ood_profile,3,0.9351851851851851,0.004369117150040948,0.936970285653843,0.004344139971150179,0.9351851851851851,0.00436911715004093,0.9356708231786733,0.004247178557358362
H1,GCN-NodeAware,KG,weak,3,0.4774305555555555,0.03027013155236578,0.7215880759777065,0.011400971288461029,0.4774305555555555,0.03027013155236577,0.4721841233608393,0.038625291041174875
L6,AE,KG,iid,3,0.9589120370370371,0.0036140034712953367,0.9595945755098515,0.0032839879549604934,0.9589120370370371,0.0036140034712953367,0.9589707670650155,0.003564348170001061
L6,AE,KG,ood_profile,3,0.9317129629629629,0.004009376869372379,0.9365611555530968,0.0032432823065165787,0.9317129629629629,0.004009376869372515,0.9324221873507597,0.0037648353025368886
L6,AE,KG,weak,3,0.4537037037037037,0.0070164095214017095,0.6845375147148398,0.0008907188830673665,0.4537037037037037,0.0070164095214017095,0.4377725413320624,0.013011299757350053
L6,CNN,KG,iid,3,0.9658564814814815,0.003614003471295363,0.9660599341291537,0.0034702662392711724,0.9658564814814815,0.003614003471295363,0.9658667332969847,0.0036002302105923962
L6,CNN,KG,ood_profile,3,0.9508101851851851,0.01476545234047811,0.9525879390747424,0.013044790670701816,0.9508101851851851,0.01476545234047796,0.9510706189788461,0.014592693586789277
L6,CNN,KG,weak,3,0.41608796296296297,0.030583820050286564,0.6770695807008403,0.007150860670687682,0.41608796296296297,0.030583820050286613,0.39050887807963414,0.04088063434413625
L6,GCN-NodeAware,Corr,iid,3,0.9774305555555557,0.0034722222222222376,0.9776265567653194,0.0032336133019705135,0.9774305555555557,0.0034722222222222376,0.9774416521407076,0.003395792950369018
L6,GCN-NodeAware,Corr,ood_profile,3,0.953125,0.00601406530405858,0.9552675599894694,0.005233160497865241,0.953125,0.00601406530405858,0.9535518126311486,0.005889555499567448
L6,GCN-NodeAware,Corr,weak,3,0.4108796296296296,0.029683607877852257,0.6966415162947825,0.01679194014326517,0.4108796296296296,0.029683607877852257,0.3808618052314457,0.04455834165637075
L6,GCN-NodeAware,Identity,iid,3,0.9826388888888888,0.004593318248376046,0.9827549549384694,0.0045457076209495795,0.9826388888888888,0.004593318248376004,0.9826518557112701,0.0045836916390705465
L6,GCN-NodeAware,Identity,ood_profile,3,0.9456018518518517,0.01303047482546034,0.9504483955422375,0.00917098113072495,0.9456018518518517,0.01303047482546034,0.9463428300109188,0.012533778755923082
L6,GCN-NodeAware,Identity,weak,3,0.38946759259259256,0.026689473512963434,0.6945629900493614,0.0034710321002414638,0.38946759259259256,0.026689473512963486,0.34900012597542185,0.040655619438695646
L6,GCN-NodeAware,KG,iid,3,0.9809027777777777,0.001736111111111091,0.9810837920832953,0.001712008725554387,0.9809027777777777,0.001736111111111105,0.9808983693729744,0.00168109498747115
L6,GCN-NodeAware,KG,ood_profile,3,0.9496527777777778,0.005208333333333343,0.9524948134869975,0.0038581956422562166,0.9496527777777777,0.005208333333333273,0.9501777526061447,0.005091986680146108
L6,GCN-NodeAware,KG,weak,3,0.4010416666666667,0.028685263267115124,0.6874937553111345,0.014271712148448721,0.4010416666666667,0.028685263267115124,0.3663331995420205,0.04309393796727957
