protocol,split,target_tag,name_cn,group,rows,min,max,mean,std
month_expanded_2025,test,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,Y1_VHP本体,40603,386.85605,444.9657,418.1662733780756,6.875620806899411
month_expanded_2025,test,SYG1_10LBQ10CP101,一级抽汽口压力,Y2_一级抽汽接口,40603,3.2127686,11.384766,7.977708849257443,2.308754676946846
month_expanded_2025,test,SYG1_10LBQ10CT101A,一级抽汽口温度,Y2_一级抽汽接口,40603,386.065,444.2244,417.56056276703697,6.740900547439583
month_expanded_2025,test,SYG1_10LBQ10CT102,一级抽汽逆止门前水平管管顶温度,Y2_一级抽汽接口,40603,383.3232,440.45486,414.448214327759,6.651752675934748
month_expanded_2025,test,SYG1_10LBQ10CT103,一级抽汽逆止门前水平管管底温度,Y2_一级抽汽接口,40603,384.15073,441.41934,415.15492962983024,6.705274801865507
month_expanded_2025,test,SYG1_10LBQ10CT104,一级抽汽逆止门后水平管管顶温度,Y2_一级抽汽接口,40603,383.9047,441.03134,415.26250076792365,6.57379003128801
month_expanded_2025,test,SYG1_10LBQ10CT105,一级抽汽逆止门后水平管管底温度,Y2_一级抽汽接口,40603,383.71463,440.6988,414.6882457823314,6.6409685521924615
month_expanded_2025,test,SYG1_10LBQ10CP102,1号高加入口抽汽压力,Y2_一级抽汽接口,40603,3.2704465,11.192504,7.935819966278354,2.2448081131889013
month_expanded_2025,test,SYG1_10LBQ10CT106,1号高加入口抽汽温度,Y2_一级抽汽接口,40603,382.30542,439.44592,413.967415439007,6.455696911526793
month_expanded_2025,test,SYG1_10LBC20CT101,一次低温再热逆止阀前母管管底温度,Y3_VHP至RH1接口,40603,385.41418,442.8603,416.39722072753256,6.752003452901912
month_expanded_2025,test,SYG1_10LBC20CT103,一次低温再热逆止阀后水平管管顶温度,Y3_VHP至RH1接口,40603,384.68747,441.99576,415.71184214466916,6.750401390053907
month_expanded_2025,test,SYG1_10LBC20CT104,一次低温再热逆止阀后水平管管底温度,Y3_VHP至RH1接口,40603,387.6271,444.4781,418.3174318914859,6.634081983173818
month_expanded_2025,test,SYG1_10MAA50CT111A,超高压内缸壁温90%处#1,Y4_VHP缸体与内部蒸汽,40603,546.64276,590.498,576.6247485047902,5.602587266562629
month_expanded_2025,test,SYG1_10MAA50CT112A,超高压内缸壁温90%处#2,Y4_VHP缸体与内部蒸汽,40603,553.09247,599.7244,584.3186505979854,5.954566839271907
month_expanded_2025,test,SYG1_10MAA50CT131A,超高压缸蒸汽温度100%,Y4_VHP缸体与内部蒸汽,40603,500.12946,547.17114,527.6980596335247,6.707833839880439
month_expanded_2025,test,SYG1_10MAA50CT132A,超高压缸蒸汽温度50%,Y4_VHP缸体与内部蒸汽,40603,502.1795,541.98737,527.1357593655641,6.002305510155724
month_expanded_2025,test,SYG1_10MAA50CT151A,超高压缸中部上半汽缸温度50%,Y4_VHP缸体与内部蒸汽,40603,499.931,538.31116,523.8632314429968,6.1358726699679185
month_expanded_2025,test,SYG1_10MAA50CT152A,超高压缸中部下半汽缸温度50%,Y4_VHP缸体与内部蒸汽,40603,498.49802,538.02496,524.1457816828806,5.935073645138264
month_expanded_2025,test,SYG1_10MAL41CT101A,#1抽汽逆止门前疏水阀后温度,Y5_疏水热状态,40603,24.427523,36.081066,30.651696864911465,2.2099095312110726
month_expanded_2025,test,SYG1_10MAL67CT101A,超高压冷再热逆止阀前疏水阀后温度,Y5_疏水热状态,40603,21.56163,34.019306,27.204995580301947,2.4621880873679585
10d300d_expanded_2024,train,SYG1_10MAA50CP101,超高压缸叶片级压力#1,Y1_VHP本体,14400,6.576,22.708,15.365750902777778,4.9121656068935415
10d300d_expanded_2024,train,SYG1_10MAA50CP102,超高压缸叶片级压力#2,Y1_VHP本体,14400,6.592,22.696,15.366826111111113,4.911279966768833
10d300d_expanded_2024,train,SYG1_10MAA50CP103,超高压缸叶片级压力#3,Y1_VHP本体,14400,6.579,22.696,15.366073333333334,4.911217613355504
10d300d_expanded_2024,train,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,Y1_VHP本体,14400,395.436,424.853,413.3387522222222,4.077425224567523
10d300d_expanded_2024,train,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,Y1_VHP本体,14400,392.344,421.919,410.24184104166665,4.07150766914918
10d300d_expanded_2024,train,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,Y1_VHP本体,14400,393.315,423.219,411.7936089583333,4.016483083953378
