task,split,algorithm,target_tag,name_cn,unit,group,r2,rmse,mae,train_actual_min,train_actual_max,actual_min,actual_max,pred_min,pred_max,samples,first_time,last_time
2025_10d训练_100d测试,train,TCN,SYG1_10MAA50CP103,超高压缸叶片级压力#3,MPa,Y1_VHP本体,0.9901118874549866,0.3553961585405056,0.2638278305530548,7.043151378631592,23.179319381713867,7.04315185546875,23.1793212890625,7.728582382202148,23.12796401977539,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10MAA50CP103,超高压缸叶片级压力#3,MPa,Y1_VHP本体,0.9930527806282043,0.2978934461818697,0.21792830526828766,7.043151378631592,23.179319381713867,7.04315185546875,23.1793212890625,6.548255920410156,22.790739059448242,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,℃,Y1_VHP本体,0.9106764197349548,1.2843603667008021,0.9938845634460449,399.4964904785156,435.0658874511719,399.4964904785156,435.0658874511719,405.3460693359375,430.24267578125,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,℃,Y1_VHP本体,0.9416437745094299,1.0381198134686038,0.7988484501838684,399.4964904785156,435.0658874511719,399.4964904785156,435.0658874511719,402.0155029296875,433.5043029785156,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,℃,Y1_VHP本体,0.920752763748169,1.209750572064133,0.9316839575767517,399.4964904785156,435.0658874511719,399.4964904785156,435.0658874511719,402.9327392578125,432.5161437988281,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10MAA50CT121A,超高压排汽蒸汽温度#1,℃,Y1_VHP本体,0.8933781385421753,1.4032239781326417,1.0936858654022217,399.4964904785156,435.0658874511719,399.4964904785156,435.0658874511719,402.061767578125,433.37109375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,℃,Y1_VHP本体,0.9054868221282959,1.3147068090632612,1.0071793794631958,397.43304443359375,433.4461364746094,397.43304443359375,433.4461364746094,404.30340576171875,427.7467956542969,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,℃,Y1_VHP本体,0.9377323389053345,1.0671219432796415,0.8215504884719849,397.43304443359375,433.4461364746094,397.43304443359375,433.4461364746094,400.2402038574219,431.4367370605469,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,℃,Y1_VHP本体,0.9106104969978333,1.278574126408951,0.9879433512687683,397.43304443359375,433.4461364746094,397.43304443359375,433.4461364746094,401.8626403808594,430.35003662109375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10MAA50CT122A,超高压排汽蒸汽温度#2,℃,Y1_VHP本体,0.8919031620025635,1.4060123666677966,1.0934531688690186,397.43304443359375,433.4461364746094,397.43304443359375,433.4461364746094,400.299560546875,431.50274658203125,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,℃,Y1_VHP本体,0.8931965231895447,1.4015592543140198,1.0824023485183716,397.0870666503906,432.2364807128906,397.08709716796875,432.23651123046875,402.796875,425.46539306640625,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,℃,Y1_VHP本体,0.9365143179893494,1.0805792034234305,0.8309530019760132,397.0870666503906,432.2364807128906,397.08709716796875,432.23651123046875,399.77520751953125,430.56890869140625,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,℃,Y1_VHP本体,0.9163525104522705,1.2403525949438472,0.9588056206703186,397.0870666503906,432.2364807128906,397.08709716796875,432.23651123046875,400.3988037109375,429.9453430175781,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10MAA50CT123A,超高压排汽蒸汽温度#3,℃,Y1_VHP本体,0.8901402354240417,1.4214713393470884,1.1103633642196655,397.0870666503906,432.2364807128906,397.08709716796875,432.23651123046875,399.4100646972656,430.80340576171875,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,MPa,Y1_VHP本体,0.9806439280509949,0.24500658952113358,0.16334472596645355,3.375091314315796,11.254348754882812,3.375091075897217,11.254348754882812,3.6021199226379395,11.31477165222168,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,MPa,Y1_VHP本体,0.9968029856681824,0.09957318490016828,0.07304580509662628,3.375091314315796,11.254348754882812,3.375091075897217,11.254348754882812,3.3690757751464844,11.4376859664917,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,MPa,Y1_VHP本体,0.9933011531829834,0.14413471855943247,0.10482336580753326,3.375091314315796,11.254348754882812,3.375091075897217,11.254348754882812,3.258723735809326,11.37962818145752,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBC01CP101,超高压缸A侧排汽垂直管压力,MPa,Y1_VHP本体,0.993428647518158,0.14275690523129736,0.1079731360077858,3.375091314315796,11.254348754882812,3.375091075897217,11.254348754882812,3.0723776817321777,11.123626708984375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,MPa,Y1_VHP本体,0.991642951965332,0.16238829161407206,0.11453177034854889,3.402557373046875,11.343612670898438,3.402557373046875,11.343612670898438,3.0611424446105957,11.262809753417969,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,MPa,Y1_VHP本体,0.9961876273155212,0.10967913984298788,0.0808117613196373,3.402557373046875,11.343612670898438,3.402557373046875,11.343612670898438,3.380187511444092,11.264080047607422,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,MPa,Y1_VHP本体,0.9920227527618408,0.15865539729114797,0.1164999008178711,3.402557373046875,11.343612670898438,3.402557373046875,11.343612670898438,3.3130640983581543,11.337867736816406,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBC02CP101,超高压缸B侧排汽垂直管压力,MPa,Y1_VHP本体,0.9935178756713867,0.14301690426736427,0.10779782384634018,3.402557373046875,11.343612670898438,3.402557373046875,11.343612670898438,3.1319069862365723,11.28467845916748,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,℃,Y1_VHP本体,0.9025781154632568,1.4964917004753735,1.116508960723877,397.30804443359375,439.3348693847656,397.30804443359375,439.3348693847656,404.071044921875,430.871826171875,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,℃,Y1_VHP本体,0.9735084176063538,0.7803688420681052,0.5758388042449951,397.30804443359375,439.3348693847656,397.30804443359375,439.3348693847656,400.1214904785156,436.0783386230469,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,℃,Y1_VHP本体,0.958408772945404,0.9777929869887377,0.7323775887489319,397.30804443359375,439.3348693847656,397.30804443359375,439.3348693847656,401.14337158203125,434.6620788574219,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBC01CT101,超高压缸A侧排汽垂直管温度,℃,Y1_VHP本体,0.9404516220092773,1.1699866784796416,0.8871328830718994,397.30804443359375,439.3348693847656,397.30804443359375,439.3348693847656,399.9583435058594,433.92352294921875,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,℃,Y1_VHP本体,0.9089480638504028,1.450650148317547,1.0565845966339111,401.0221252441406,441.87353515625,401.0221252441406,441.87353515625,406.5110778808594,433.4818115234375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,℃,Y1_VHP本体,0.9758651256561279,0.7468618862644827,0.5564271807670593,401.0221252441406,441.87353515625,401.0221252441406,441.87353515625,403.1883850097656,439.2823181152344,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,℃,Y1_VHP本体,0.9606204628944397,0.9540107551084418,0.7145025730133057,401.0221252441406,441.87353515625,401.0221252441406,441.87353515625,404.0528564453125,437.74163818359375,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBC02CT101,超高压缸B侧排汽垂直管温度,℃,Y1_VHP本体,0.9444414973258972,1.1331652388079543,0.8650838732719421,401.0221252441406,441.87353515625,401.0221252441406,441.87353515625,402.4346618652344,436.5927429199219,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBQ10CP101,一级抽汽口压力,MPa,Y2_一级抽汽接口,0.9920228719711304,0.15615709045906156,0.11809288710355759,3.355590581893921,11.17877197265625,3.355590343475342,11.17877197265625,3.199051856994629,11.153976440429688,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBQ10CP101,一级抽汽口压力,MPa,Y2_一级抽汽接口,0.9963296055793762,0.10592373970991271,0.0783853605389595,3.355590581893921,11.17877197265625,3.355590343475342,11.17877197265625,3.2963619232177734,11.503032684326172,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,TCN,SYG1_10LBQ10CP101,一级抽汽口压力,MPa,Y2_一级抽汽接口,0.9937297105789185,0.13844692090531,0.10258755832910538,3.355590581893921,11.17877197265625,3.355590343475342,11.17877197265625,3.4006333351135254,11.115852355957031,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,iTransformer-small,SYG1_10LBQ10CP101,一级抽汽口压力,MPa,Y2_一级抽汽接口,0.993269681930542,0.1434353182923857,0.10814525187015533,3.355590581893921,11.17877197265625,3.355590343475342,11.17877197265625,3.1046199798583984,11.064013481140137,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,ANN,SYG1_10LBQ10CT101A,一级抽汽口温度,℃,Y2_一级抽汽接口,0.9216902256011963,1.3125781989643919,0.9697306752204895,400.3775939941406,440.5112609863281,400.3775939941406,440.5112609863281,406.64324951171875,433.1458435058594,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
2025_10d训练_100d测试,train,GRU-RNN,SYG1_10LBQ10CT101A,一级抽汽口温度,℃,Y2_一级抽汽接口,0.976816713809967,0.7141749687854748,0.5199271440505981,400.3775939941406,440.5112609863281,400.3775939941406,440.5112609863281,402.96343994140625,438.01470947265625,13951,2025-08-01 00:23:00,2025-08-10 23:59:00
