device,stage,model,graph,seed,label_fraction,shuffle_labels,hidden,head_hidden,dropout,learning_rate,finetune_encoder,test,best_val_macro_f1,best_epoch,pretrain_val_mse,accuracy,macro_precision,macro_recall,macro_f1
H3,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.98090853302791,18,0.5123790502548218,0.9670138888888888,0.9673623091176282,0.9670138888888888,0.9671133787246824
H3,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.98090853302791,18,0.5123790502548218,0.9166666666666666,0.9224448492208056,0.9166666666666669,0.9171263156225562
H3,final,GCN-NodeAware,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.98090853302791,18,0.5123790502548218,0.4704861111111111,0.7178652108433735,0.4704861111111111,0.4581565198716923
H4,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9652873777359068,35,0.2962575554847717,0.921875,0.9302492503005207,0.921875,0.9235114117232536
H4,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9652873777359068,35,0.2962575554847717,0.8576388888888888,0.8892856586611844,0.8576388888888888,0.8625728891580634
H4,final,AE,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9652873777359068,35,0.2962575554847717,0.4722222222222222,0.7558440237797246,0.4722222222222222,0.4647094934944034
H4,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.95664145246154,19,0.306730180978775,0.9184027777777778,0.9284547033401996,0.9184027777777778,0.9203543780406962
H4,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.95664145246154,19,0.306730180978775,0.859375,0.8903380551902248,0.859375,0.8639685921321784
H4,final,AE,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.95664145246154,19,0.306730180978775,0.453125,0.7407245793054065,0.453125,0.441392763276309
H4,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9564938006877596,19,0.3068965375423431,0.9131944444444444,0.9209320309660218,0.9131944444444444,0.9151775082934688
H4,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9564938006877596,19,0.3068965375423431,0.8715277777777778,0.8906672794117647,0.8715277777777778,0.875563337791456
H4,final,AE,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9564938006877596,19,0.3068965375423431,0.5017361111111112,0.7341988969500843,0.5017361111111112,0.502078031337386
H4,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,iid,0.9599451234795772,30,,0.9513888888888888,0.9551859599056396,0.9513888888888888,0.951840498527362
H4,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9599451234795772,30,,0.8958333333333334,0.905535427624522,0.8958333333333334,0.8948461132889328
H4,final,CNN,KG,101,1,False,32,96,0.05,0.0015,False,weak,0.9599451234795772,30,,0.4409722222222222,0.6804246400151572,0.4409722222222222,0.417620320855615
H4,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,iid,0.9652602405939952,30,,0.9548611111111112,0.9560401296292736,0.9548611111111112,0.95457249149449
H4,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,ood_profile,0.9652602405939952,30,,0.9131944444444444,0.9160900038167644,0.9131944444444444,0.9132855709488236
H4,final,CNN,KG,123,1,False,32,96,0.05,0.0015,False,weak,0.9652602405939952,30,,0.4305555555555556,0.6816443980856102,0.4305555555555555,0.4149607350376498
H4,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,iid,0.9669686357067954,23,,0.9670138888888888,0.968341503267974,0.967013888888889,0.9672090528945368
H4,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,ood_profile,0.9669686357067954,23,,0.9045138888888888,0.9206885159244088,0.904513888888889,0.9055983868171652
H4,final,CNN,KG,202,1,False,32,96,0.05,0.0015,False,weak,0.9669686357067954,23,,0.4114583333333333,0.7743260461373391,0.4114583333333333,0.3749511128845933
H4,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,iid,0.9704157786424684,13,0.5090950131416321,0.9600694444444444,0.9614456447263636,0.9600694444444444,0.9602279280296062
H4,final,GCN-NodeAware,Corr,101,1,False,32,96,0.05,0.0015,False,ood_profile,0.9704157786424684,13,0.5090950131416321,0.9010416666666666,0.9099034350582338,0.9010416666666666,0.900859381958687
