device,model,graph,test,seeds,accuracy_mean,accuracy_std,macro_precision_mean,macro_precision_std,macro_recall_mean,macro_recall_std,macro_f1_mean,macro_f1_std
H2,GCN-NodeAware,Identity,weak,3,0.5335648148148148,0.04440961815497611,0.8274464810139454,0.014816219444629825,0.5335648148148149,0.0444096181549761,0.5335141118850536,0.05528058617816374
H2,GCN-NodeAware,KG,iid,3,0.9994212962962963,0.0010023442173431288,0.9994252873563219,0.000995431498602773,0.9994212962962963,0.0010023442173431288,0.9994212893191711,0.001002356302078597
H2,GCN-NodeAware,KG,ood_profile,3,0.9768518518518517,0.017562489473950817,0.9790205452208097,0.014692057966816467,0.9768518518518517,0.017562489473951014,0.9769011118445555,0.017582135774201823
H2,GCN-NodeAware,KG,weak,3,0.546875,0.0646570293386669,0.8272105851324438,0.016491118985360653,0.546875,0.0646570293386669,0.5465546985718083,0.0745775389273072
H3,AE,KG,iid,3,0.9502314814814815,0.011025786390774056,0.9511156658691622,0.010229661537460273,0.9502314814814815,0.011025786390774112,0.9504545443342137,0.010774027917396019
H3,AE,KG,ood_profile,3,0.9212962962962963,0.008909030276817517,0.9252301577016059,0.007742976990416569,0.9212962962962963,0.0089090302768175,0.9219710959392434,0.008758920287168723
H3,AE,KG,weak,3,0.44675925925925924,0.020712419176126512,0.6978128606466387,0.017467973583468188,0.44675925925925924,0.020712419176126512,0.42756773599285464,0.021907561149483105
H3,CNN,KG,iid,3,0.9791666666666666,0.009186636496752072,0.9793184714363914,0.009136404311668466,0.9791666666666666,0.009186636496752072,0.9791605664283219,0.00918372014183194
H3,CNN,KG,ood_profile,3,0.9560185185185185,0.008204541017799669,0.9584854041446661,0.00622170495181429,0.9560185185185185,0.00820454101779962,0.9563005225740006,0.007994018645740113
H3,CNN,KG,weak,3,0.43113425925925924,0.014032819042803377,0.7344554869472972,0.020723543748169558,0.43113425925925924,0.014032819042803362,0.3941524269206758,0.017752384244030306
H3,GCN-NodeAware,Corr,iid,3,0.9699074074074074,0.002651953527173512,0.9704827747909492,0.0020175582678114857,0.9699074074074074,0.002651953527173512,0.9699773402752129,0.0026367851179827746
H3,GCN-NodeAware,Corr,ood_profile,3,0.921875,0.007567532888091459,0.9284850418367373,0.006202333968874799,0.921875,0.007567532888091459,0.9222953744094412,0.007393910099184911
H3,GCN-NodeAware,Corr,weak,3,0.43402777777777785,0.05268746842185249,0.7379641847976766,0.011797452152530585,0.43402777777777773,0.05268746842185255,0.4068243970465207,0.06990080229775336
H3,GCN-NodeAware,Identity,iid,3,0.9722222222222222,0.00347222222222221,0.9726140210081805,0.003429131312502287,0.9722222222222222,0.00347222222222221,0.9723101198034056,0.0034369099979720766
H3,GCN-NodeAware,Identity,ood_profile,3,0.9085648148148149,0.011295845657374485,0.9199205674559728,0.009432507073625676,0.9085648148148149,0.011295845657374492,0.9084855967549004,0.012204543843377571
H3,GCN-NodeAware,Identity,weak,3,0.4508101851851852,0.02071241917612647,0.743809272559853,0.019906251537568732,0.4508101851851852,0.02071241917612647,0.42527015268666385,0.030571490414703292
H3,GCN-NodeAware,KG,iid,3,0.970486111111111,0.003007032652029306,0.9707255605686669,0.002912774037087794,0.970486111111111,0.003007032652029306,0.9705421152111419,0.0029695307293428506
H3,GCN-NodeAware,KG,ood_profile,3,0.9189814814814815,0.002651953527173515,0.926736038090926,0.003774365324900655,0.9189814814814815,0.00265195352717343,0.9195953151192616,0.002859181071220372
H3,GCN-NodeAware,KG,weak,3,0.43634259259259256,0.036678129346043586,0.7409399420080508,0.020391959685088334,0.43634259259259256,0.036678129346043586,0.4087716724779234,0.05204845514853895
H4,AE,KG,iid,3,0.9178240740740741,0.0043691171500409316,0.9265453282022474,0.0049433722391564695,0.9178240740740741,0.0043691171500409316,0.9196810993524728,0.004207548542590667
H4,AE,KG,ood_profile,3,0.8628472222222222,0.007567532888091471,0.8900969977543913,0.0007216650816941308,0.8628472222222222,0.007567532888091471,0.8673682730272326,0.00713136112992115
H4,AE,KG,weak,3,0.4756944444444445,0.024490861075808848,0.743589166678405,0.011103255129958993,0.4756944444444445,0.024490861075808848,0.4693934293693662,0.03061257717624842
H4,CNN,KG,iid,3,0.9577546296296297,0.008204541017799634,0.9598558642676291,0.007361178805892662,0.9577546296296297,0.008204541017799712,0.9578740143054629,0.008198972831259612
H4,CNN,KG,ood_profile,3,0.9045138888888888,0.008680555555555552,0.9141046491218985,0.007769185684765312,0.904513888888889,0.008680555555555552,0.9045766903516405,0.009262089259366649
H4,CNN,KG,weak,3,0.42766203703703703,0.014968191153214778,0.7121316947460355,0.05386534100120707,0.42766203703703703,0.014968191153214745,0.40251072292595275,0.02390433911248391
H4,GCN-NodeAware,Corr,iid,3,0.96875,0.009666257574357658,0.9693818006229716,0.009018077313744818,0.96875,0.009666257574357658,0.9688284480624865,0.009580247202365446
H4,GCN-NodeAware,Corr,ood_profile,3,0.9039351851851851,0.01496819115321477,0.9148252830225342,0.01314904948951671,0.9039351851851851,0.01496819115321477,0.9042859539516966,0.015601032703028617
H4,GCN-NodeAware,Corr,weak,3,0.42939814814814814,0.028544820498005875,0.7131448274039277,0.031699514656599176,0.42939814814814814,0.028544820498005875,0.3963587432087517,0.03513494628505839
H4,GCN-NodeAware,Identity,iid,3,0.9681712962962963,0.007016409521401682,0.968872104104905,0.006467142125150503,0.9681712962962963,0.007016409521401682,0.9682986703856603,0.006905555060365008
H4,GCN-NodeAware,Identity,ood_profile,3,0.8958333333333334,0.007955860581520546,0.9089783672939274,0.007386026294320346,0.8958333333333334,0.00795586058152051,0.8966154489023692,0.00866052864812068
H4,GCN-NodeAware,Identity,weak,3,0.40740740740740744,0.026576302090752388,0.6995002681429782,0.023667910100193465,0.40740740740740744,0.026576302090752357,0.36868033938998207,0.03471938452877396
H4,GCN-NodeAware,KG,iid,3,0.9600694444444443,0.007955860581520563,0.961354474797487,0.007288393900747239,0.9600694444444445,0.00795586058152051,0.9602374378209152,0.007947055883338766
H4,GCN-NodeAware,KG,ood_profile,3,0.904513888888889,0.022966591241880115,0.913004300019243,0.018218414988124796,0.9045138888888888,0.02296659124188019,0.9044274228785052,0.02346239228804541
H4,GCN-NodeAware,KG,weak,3,0.4270833333333333,0.022768883764937492,0.6914993328931658,0.018284306554862483,0.4270833333333333,0.022768883764937492,0.3948179636795741,0.02828698071332411
L6,AE,KG,iid,3,0.9589120370370371,0.0036140034712953367,0.9595945755098515,0.0032839879549604934,0.9589120370370371,0.0036140034712953367,0.9589707670650155,0.003564348170001061
L6,AE,KG,ood_profile,3,0.9317129629629629,0.004009376869372379,0.9365611555530968,0.0032432823065165787,0.9317129629629629,0.004009376869372515,0.9324221873507597,0.0037648353025368886
L6,AE,KG,weak,3,0.4537037037037037,0.0070164095214017095,0.6845375147148398,0.0008907188830673665,0.4537037037037037,0.0070164095214017095,0.4377725413320624,0.013011299757350053
L6,CNN,KG,iid,3,0.9658564814814815,0.003614003471295363,0.9660599341291537,0.0034702662392711724,0.9658564814814815,0.003614003471295363,0.9658667332969847,0.0036002302105923962
L6,CNN,KG,ood_profile,3,0.9508101851851851,0.01476545234047811,0.9525879390747424,0.013044790670701816,0.9508101851851851,0.01476545234047796,0.9510706189788461,0.014592693586789277
L6,CNN,KG,weak,3,0.41608796296296297,0.030583820050286564,0.6770695807008403,0.007150860670687682,0.41608796296296297,0.030583820050286613,0.39050887807963414,0.04088063434413625
